year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,KY,21,1,Corn,Corn,0.02914111,1.018253,5.202057,0,0,usgs,3
2010,KY,21,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,KY,21,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,KY,21,4,Sorghum,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,5,Soybeans,Soybeans,0.02917654,0.7175257,5.806268,0,0,usgs,3
2010,KY,21,6,Sunflower,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,10,Peanuts,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,11,Tobacco,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,12,Sweet Corn,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,21,Barley,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,22,Durum Wheat,Wheat,0.1161838,0.9048658,7.218874,0,0,usgs,3
2010,KY,21,23,Spring Wheat,Wheat,0.1161838,0.9048658,7.218874,0,0,usgs,3
2010,KY,21,24,Winter Wheat,Wheat,0.1161838,0.9048658,7.218874,0,0,usgs,3
2010,KY,21,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,26,Dbl Crop WinWht/Soybeans,Double,0.1453603,1.622391,13.02514,0,0,usgs,3
2010,KY,21,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,31,Canola,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,34,Rape Seed,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,36,Alfalfa,Alfalfa,0.1124493,1.033304,0.3392873,0,0,usgs,3
2010,KY,21,37,Other Hay/Non Alfalfa,Pasture_and_hay,7.174749e-4,0.002110387,0.00197525,0,0,interp_s,3
2010,KY,21,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,41,Sugarbeets,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,42,Dry Beans,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,43,Potatoes,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,45,Sugarcane,Other_crops,1.105994,3.208875,21.41779,0,0,usgs,3
2010,KY,21,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,48,Watermelons,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,49,Onions,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,50,Cucumbers,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,51,Chick Peas,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,52,Lentils,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,53,Peas,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,54,Tomatoes,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,55,Caneberries,Vegetables_and_fruit,0.6412857,8.490293,8.019228,0,0,usgs,3
2010,KY,21,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KY,21,61,Fallow/Idle Cropland,Pasture_and_hay,7.174749e-4,0.002110387,0.00197525,0,0,interp_s,3
2010,KY,21,62,Pasture/Grass,Pasture_and_hay,7.174749e-4,0.002110387,0.00197525,0,0,interp_s,3
2010,KY,21,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2010,KY,21,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2010,KY,21,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2010,KY,21,66,Cherries,Orchards_and_grapes,2.2551,22.95569,9.163852,0,0,usgs,3
2010,KY,21,67,Peaches,Orchards_and_grapes,2.2551,22.95569,9.163852,0,0,usgs,3
