year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,DE,10,1,Corn,Corn,0.03742394,0.9061519,5.980051,0,0,usgs,3
2010,DE,10,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,DE,10,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,DE,10,4,Sorghum,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,5,Soybeans,Soybeans,0.1391945,4.155948,8.006603,0,0,usgs,3
2010,DE,10,6,Sunflower,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,10,Peanuts,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,11,Tobacco,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,12,Sweet Corn,Vegetables_and_fruit,0.7909896,7.725043,5.888957,0,0,usgs,3
2010,DE,10,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,21,Barley,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,22,Durum Wheat,Wheat,0.003264943,0.06265338,0.004362053,0,0,usgs,3
2010,DE,10,23,Spring Wheat,Wheat,0.003264943,0.06265338,0.004362053,0,0,usgs,3
2010,DE,10,24,Winter Wheat,Wheat,0.003264943,0.06265338,0.004362053,0,0,usgs,3
2010,DE,10,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,26,Dbl Crop WinWht/Soybeans,Double,0.1424594,4.218601,8.010965,0,0,usgs,3
2010,DE,10,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,31,Canola,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,34,Rape Seed,Other_crops,NA,NA,NA,0,0,NA,3
2010,DE,10,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,36,Alfalfa,Alfalfa,0.01694171,0.3130626,0.1152428,0,0,usgs,3
2010,DE,10,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.002666019,0.02431041,0.04159922,0,0,interp_s,3
2010,DE,10,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,DE,10,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
