year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2014,LA,22,69,Grapes,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,72,Citrus,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,74,Pecans,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,75,Almonds,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,76,Walnuts,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,77,Pears,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,142,Evergreen Forest,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,143,Mixed Forest,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,152,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,171,Grassland Herbaceous,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,176,Grassland/Pasture,Pasture_and_hay,0.001578365,0.003156982,0.008848087,0,0,interp_s,3
2014,LA,22,181,Pasture/Hay,Pasture_and_hay,0.001578365,0.003156982,0.008848087,0,0,interp_s,3
2014,LA,22,190,Woody Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,195,Herbaceous Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2014,LA,22,204,Pistachios,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,205,Triticale,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,206,Carrots,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,207,Asparagus,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,208,Garlic,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,209,Cantaloupes,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,210,Prunes,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,211,Olives,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,212,Oranges,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,213,Honeydew Melons,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,214,Broccoli,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,216,Peppers,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,217,Pomegranates,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,218,Nectarines,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,219,Greens,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,220,Plums,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,221,Strawberries,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,222,Squash,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,223,Apricots,Orchards_and_grapes,0.08536031,1.775125,0.3258694,0,0,usgs,3
2014,LA,22,224,Vetch,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,225,Dbl Crop WinWht/Corn,Double,0.03996894,1.322177,7.842182,0,0,usgs,3
2014,LA,22,226,Dbl Crop Oats/Corn,Double,NA,NA,NA,0.5,0,NA,3
2014,LA,22,227,Lettuce,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,229,Pumpkins,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,230,Dbl Crop Lettuce/Durum Wht,Double,0.1529789,0.7795579,1.698262,0,0,usgs,3
2014,LA,22,231,Dbl Crop Lettuce/Cantaloupe,Double,0.2994605,1.379275,2.871047,0,0,usgs,3
2014,LA,22,232,Dbl Crop Lettuce/Cotton,Double,1.714182,15.51185,51.5141,0,0,usgs,3
2014,LA,22,233,Dbl Crop Lettuce/Barley,Double,0.2633927,1.214309,2.667669,0,0,usgs,3
2014,LA,22,234,Dbl Crop Durum Wht/Sorghum,Double,0.1169111,0.6145917,1.494884,0,0,usgs,3
2014,LA,22,235,Dbl Crop Barley/Sorghum,Double,0.2273249,1.049343,2.46429,0,0,usgs,3
2014,LA,22,236,Dbl Crop WinWht/Sorghum,Double,0.1169111,0.6145917,1.494884,0,0,usgs,3
2014,LA,22,237,Dbl Crop Barley/Corn,Double,0.1503828,1.756928,8.811589,0,0,usgs,3
2014,LA,22,238,Dbl Crop WinWht/Cotton,Double,1.567701,14.91214,50.34131,0,0,usgs,3
2014,LA,22,239,Dbl Crop Soybeans/Cotton,Double,2.069791,19.09726,63.43713,0,0,usgs,3
2014,LA,22,240,Dbl Crop Soybeans/Oats,Double,NA,NA,NA,0.5,0,NA,3
2014,LA,22,241,Dbl Crop Corn/Soybeans,Double,0.5420587,5.507298,20.938,0,0,usgs,3
2014,LA,22,242,Blueberries,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,243,Cabbage,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,244,Cauliflower,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,245,Celery,Vegetables_and_fruit,0.1497303,0.6896377,1.435523,0,0,usgs,3
2014,LA,22,246,Radishes,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,247,Turnips,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,248,Eggplants,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,249,Gourds,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,250,Cranberries,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,LA,22,254,Dbl Crop Barley/Soybeans,Double,0.6190008,4.799713,14.5907,0,0,usgs,3
